"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"MSI","Katana","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","15.6",2,"No","No",769.9,1069.9,28,4.6,75,17
"ASUS","TUF","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",6,"Gaming","15.6",1,"No","Yes",899.9,1299.9,30,4.6,124,17
"MSI","GF63","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","15.6",2,"No","No",599.9,839.9,28,4.5,1597,228
"ASUS","TUF","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","15.6",1,"No","Yes",659.9,899.9,26,4.4,3850,378
"DELL","Inspiron","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","14",0,"Yes","No",719.9,942.01,23,4.7,7,1
"HP","Missing","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",0,"No","No",559.99,660.5,15,4.8,5,1
"ASUS","VivoBook","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","14",1,"No","No",734.9,1109.9,33,4.5,213,45
"HP","Pavilion","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",583.4,748.39,22,4,69,6
"DELL","Inspiron","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",679.9,898.49,24,4.4,93,9
"ASUS","VivoBook","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","14",1,"No","No",599.9,809.9,25,4.5,11,2
"ASUS","TUF","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",6,"Casual","15.6",1,"No","Yes",829.9,1049.9,20,4.4,262,31
"DELL","Missing","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",700.9,893.95,21,4,5,1
"realme","Book(Slim)","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","14",1,"No","Yes",609.99,699.99,12,4.4,3470,505
"ASUS","Missing","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",2,"ThinNlight","15.6",1,"No","No",499.9,649.9,23,4.1,45,3
"MSI","Missing","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",554.9,669.9,17,3.9,8,1
"HP","Spectre","Intel","Core i5","11th","8 GB GB","LPDDR4X","512 GB","0 GB","Windows","64-bit",0,"Casual","13.3",0,"Yes","No",979.9,1147.49,14,5,3,1
"ASUS","VivoBook","Intel","Core i5","9th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","15.6",1,"No","Yes",549.9,769.9,28,4.4,1681,227
"Lenovo","Thinkbook","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15",1,"No","Yes",599.9,1151.67,47,4.3,37,2
"Lenovo","IdeaPad","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",539.9,798.9,32,4.2,61,2
"HP","Pavilion","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",669.99,794.45,15,4.4,17,1
"acer","Intel","Intel","Core i5","11th","8 GB GB","LPDDR4X","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",609.9,899.99,32,4.4,17,1
"ASUS","Missing","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",479.9,629.9,23,4.3,1625,152
"HP","Missing","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","32-bit",0,"ThinNlight","14",1,"No","Yes",599.99,816.84,26,4,4,1
"HP","Pavilion","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",639.9,773.27,17,4.7,17,1
"Lenovo","Thinkbook","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","14",3,"Yes","Yes",649.9,1515.57,57,4,48,12
"Lenovo","Legion","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","15.6",1,"No","Yes",664.9,936.9,29,4.4,282,36
"Lenovo","Ideapad","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",2,"Casual","15.6",1,"No","Yes",709.9,1048.9,32,4.2,67,4
"Infinix","INBook","Intel","Core i5","10th","8 GB GB","LPDDR4X","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",424.9,599.99,29,4.1,383,65
